player_id,game_id,type,subType
119,1821280,1,1
526,1821280,1,1
22,1821280,1,1
19,1821280,1,1
596,1821305,1,1
485,1821305,1,1
499,1821305,1,1
55,1821298,1,1
49,1821298,1,1
120,1821304,1,1
119,1821304,1,1
119,1821304,1,2
107,1821304,1,1
135,1821304,1,1
430,1821303,1,1
430,1821303,1,1
414,1821303,1,1
625,1821303,1,1
235,1821300,1,1
283,1821300,1,1
86,1821297,1,1
25,1821299,1,1
249,1821299,1,2
713,1821301,1,2
250,1821301,1,2
713,1821301,1,2
437,1821302,1,1
384,1821302,1,1
381,1821302,1,2
452,1821302,1,1
137,1821306,1,1
525,1821306,1,1
527,1821306,1,1
414,1821308,1,1
414,1821308,1,1
135,1821308,1,1
24,1821308,1,1
80,1821313,1,1
613,1821313,1,1
324,1821313,1,1
665,1821313,1,1
324,1821313,1,1
235,1821314,1,1
81,1821314,1,2
82,1821314,1,1
225,1821314,1,1
525,1821312,1,1
440,1821312,1,1
499,1821315,1,1
499,1821315,1,1
485,1821315,1,1
283,1821311,1,1
260,1821311,1,1
64,1821309,1,1
579,1821307,1,1
596,1821307,1,3
20,1821307,1,1
157,1821310,1,1
158,1821310,1,1
201,1821316,1,3
452,1821316,1,1
452,1821316,1,1
452,1821316,1,1
81,1821290,1,1
488,1821290,1,1
81,1821290,1,1
81,1821290,1,1
371,1821290,1,1
283,1821292,1,1
606,1821292,2,2
283,1821292,1,2
73,1821288,1,1
326,1821288,1,1
397,1821318,1,1
397,1821318,1,1
19,1821317,1,1
30,1821317,1,1
48,1821317,1,1
64,1821317,1,1
94,1821286,1,1
299,1821286,1,1
591,1821286,1,3
583,1821286,1,1
597,1821286,1,1
160,1821289,1,1
127,1821289,1,2
157,1821289,1,1
158,1821289,1,1
517,1821291,1,1
306,1821291,1,1
525,1821291,1,1
414,1821287,1,1
364,1821287,1,1
414,1821287,1,1
418,1821287,1,1
430,1821287,1,1
426,1821287,1,1
232,1821285,1,1
632,1821285,1,1
224,1821285,1,1
18,1821285,1,1
10,1821405,2,3
673,1821405,2,2
7,1821405,1,1
499,1821403,1,2
499,1821403,1,1
491,1821403,1,1
81,1821389,1,1
83,1821389,1,1
83,1821389,1,1
83,1821389,1,1
