element,fixture,total_points
148503,1821079,5
433517,1821079,5
300945,1821080,5
106981,1821084,5
318750,1821084,5
328096,1821084,5
328096,1821084,0
108186,1821087,5
91762,1821087,5
350088,1821088,5
296240,1821085,5
315227,1821085,5
315227,1821085,5
320374,1821081,5
300299,1821081,5
92550,1821081,-1
437022,1821081,5
334087,1821083,5
123481,1821086,5
82726,1821086,5
331382,1821086,5
362758,1821089,5
148503,1821089,5
301440,1821089,5
433517,1821089,5
108186,1821092,5
363686,1821092,5
331382,1821092,5
342564,1821092,5
366116,1821094,5
318750,1821094,5
377168,1821095,5
377168,1821095,5
400828,1821095,5
438067,1821097,5
134666,1821097,5
353377,1821090,5
136459,1821090,5
379688,1821090,5
137015,1821090,5
426050,1821098,5
426050,1821098,5
395692,1821098,5
73380,1821091,0
469629,1821091,5
39308,1821091,5
432672,1821091,5
332867,1821091,-1
315227,1821096,5
386519,1821096,5
334087,1821096,5
113994,1821096,-1
101374,1821096,5
380706,1821100,5
113994,1821100,5
301441,1821100,5
301441,1821100,5
327683,1821100,0
326413,1821100,5
353377,1821101,5
143595,1821101,5
362433,1821102,5
395692,1821102,5
395692,1821102,0
395692,1821102,5
436048,1821102,5
395692,1821102,5
374631,1821104,5
357427,1821104,5
357427,1821104,5
402664,1821105,5
349669,1821105,0
108186,1821107,0
345957,1821108,5
355401,1821108,5
108226,1821108,0
401254,1821103,5
362824,1821103,5
148503,1821103,5
401254,1821103,5
379688,1821106,5
123761,1821106,-1
355855,1821106,5
136459,1821106,5
384430,1821099,5
422183,1821099,5
357073,1821099,5
384061,1821099,5
382363,1821109,5
326413,1821109,5
380706,1821109,5
367185,1821109,5
372724,1821112,5
362758,1821112,5
353377,1821112,0
333048,1821112,5
101856,1821112,5
342499,1821112,5
401385,1821112,5
355401,1821112,5
235755,1821115,5
432384,1821116,5
243254,1821117,5
93894,1821117,5
93894,1821117,5
388098,1821117,5
403649,1821117,5
69517,1821118,5
401254,1821118,5
400166,1821118,5
322596,1821118,5
319756,1821118,5
379688,1821113,5
137015,1821113,5
484175,1821113,5
362433,1821113,5
39308,1821113,5
73380,1821114,5
389935,1821114,5
105172,1821114,-1
361822,1821129,-1
128882,1821129,5
331579,1821129,0
108186,1821131,5
362824,1821131,5
148503,1821131,5
231135,1821131,-1
300359,1821131,0
411335,1821131,-1
366116,1821133,5
107941,1821133,5
437022,1821140,5
342499,1821140,5
439584,1821140,5
39308,1821143,5
382363,1821149,5
342877,1821149,5
432384,1821149,5
93160,1821149,-1
106981,1821149,0
67491,1821149,5
400166,1821151,5
355855,1821151,5
303096,1821151,5
92516,1821151,0
91909,1821151,5
400166,1821151,-1
108226,1821136,0
426050,1821136,5
355354,1821136,5
333048,1821153,5
402664,1821153,5
101374,1821153,5
73380,1821146,5
342830,1821209,5
106981,1821209,5
73380,1821209,5
73380,1821209,5
92547,1821190,5
384430,1821190,5
138686,1821193,5
317547,1821193,5
296240,1821193,5
296240,1821193,5
353377,1821193,0
404080,1821193,-1
401254,1821193,5
353377,1821193,5
39308,1821195,5
423720,1821195,5
355401,1821195,5
362758,1821195,5
136824,1821203,5
380546,1821203,5
315227,1821214,5
367185,1821189,5
95408,1821189,5
238916,1821189,5
108226,1821189,5
426050,1821197,5
299254,1821197,5
395692,1821197,5
328096,1821201,5
382564,1821218,5
88526,1821218,5
322596,1821218,0
