player_id,player_name,season_name,start_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,yellow_cards,red_cards
125,Vitaly Janelt,2024/25,50,73,2251,1,3,6,38,2,3,0
126,Mathias Jensen,2023/24,55,98,2201,3,4,9,45,10,5,0
126,Mathias Jensen,2024/25,55,38,846,0,2,2,17,1,2,0
127,Gustavo Nunes Fernandes Gomes,2024/25,50,3,11,0,0,0,2,0,0,0
128,Frank Onyeka,2023/24,50,39,1147,1,2,1,27,0,8,0
128,Frank Onyeka,2024/25,50,2,23,0,0,0,0,0,0,0
129,Yehor Yarmoliuk,2023/24,45,33,670,0,0,4,9,0,2,0
129,Yehor Yarmoliuk,2024/25,45,43,1435,0,0,3,25,0,6,0
131,Yunus Emre Konak,2023/24,45,0,0,0,0,0,0,0,0,0
131,Yunus Emre Konak,2024/25,45,10,53,0,0,0,2,0,0,0
132,Paris Maghoma,2021/22,45,0,0,0,0,0,0,0,0,0
132,Paris Maghoma,2024/25,45,8,112,0,0,0,1,0,0,0
133,Myles Peart-Harris,2023/24,45,3,11,0,0,0,0,0,0,0
133,Myles Peart-Harris,2024/25,45,0,0,0,0,0,0,0,0,0
134,Ryan Trevitt,2023/24,45,0,0,0,0,0,0,0,0,0
134,Ryan Trevitt,2024/25,45,1,3,0,0,0,0,0,0,0
136,Igor Thiago Nascimento Rodrigues,2024/25,60,9,167,0,0,0,4,0,0,0
137,Iwan Morgan,2024/25,45,0,0,0,0,0,0,0,0,0
138,Jason Steele,2023/24,45,42,1530,0,0,2,34,5,0,0
138,Jason Steele,2024/25,45,9,180,0,0,1,1,1,0,0
139,Bart Verbruggen,2023/24,45,68,1890,0,0,4,28,7,3,0
139,Bart Verbruggen,2024/25,45,103,3240,0,1,7,58,6,5,0
140,Tom McGill,2022/23,40,0,0,0,0,0,0,0,0,0
140,Tom McGill,2023/24,40,0,0,0,0,0,0,0,0,0
141,Carl Rushworth,2024/25,40,0,0,0,0,0,0,0,0,0
142,Kjell Scherpen,2022/23,40,0,0,0,0,0,0,0,0,0
142,Kjell Scherpen,2023/24,40,0,0,0,0,0,0,0,0,0
146,Lewis Dunk,2023/24,50,89,2869,3,1,5,53,11,6,1
146,Lewis Dunk,2024/25,45,44,2081,0,1,4,42,0,5,0
147,Pervis Estupiñán Tenorio,2023/24,50,57,1242,2,3,3,26,7,4,0
147,Pervis Estupiñán Tenorio,2024/25,50,63,2399,1,1,3,44,7,5,0
148,Ferdi Kadıoğlu,2024/25,45,19,385,1,0,2,8,0,1,0
150,Tariq Lamptey,2023/24,40,31,908,0,3,1,20,0,3,0
150,Tariq Lamptey,2024/25,45,42,856,2,2,2,21,1,0,0
151,Jan Paul van Hecke,2023/24,40,61,2368,0,0,5,38,3,4,0
151,Jan Paul van Hecke,2024/25,45,87,2960,1,1,7,47,7,6,1
152,Joël Veltman,2023/24,45,49,1579,1,1,3,32,0,4,0
152,Joël Veltman,2024/25,45,59,1694,0,0,6,24,7,5,0
153,Adam Webster,2023/24,45,26,1142,0,0,2,22,2,2,0
153,Adam Webster,2024/25,45,39,885,0,1,4,11,2,1,0
154,Eiran Cashin,2024/25,45,1,19,0,0,0,2,0,0,0
155,Jacob Slater,2024/25,40,0,0,0,0,0,0,0,0,0
156,Charlie Tasker,2024/25,40,0,0,0,0,0,0,0,0,0
157,Mitoma Kaoru,2023/24,65,74,1485,3,7,1,27,7,4,0
157,Mitoma Kaoru,2024/25,65,145,2597,10,5,6,40,12,1,0
158,Georginio Rutter,2022/23,55,15,263,0,1,0,9,0,0,0
158,Georginio Rutter,2024/25,55,95,1651,5,6,6,29,1,2,0
159,Solly March,2023/24,65,39,555,3,1,2,11,6,1,0
159,Solly March,2024/25,65,7,161,0,0,0,3,0,2,0
160,Yankuba Minteh,2024/25,55,102,1831,6,5,4,33,8,6,0
161,Julio Enciso Espínola,2023/24,55,20,468,0,2,0,12,0,2,0
161,Julio Enciso Espínola,2024/25,55,59,1155,2,3,2,22,5,3,0
162,Brajan Gruda,2024/25,55,45,676,1,4,1,15,1,0,0
163,Jack Hinshelwood,2023/24,45,42,866,3,0,2,17,5,1,0
163,Jack Hinshelwood,2024/25,50,89,1839,5,3,6,30,8,5,0
164,Matt O'Riley,2024/25,55,50,929,2,3,2,20,2,1,0
166,Yasin Ayari,2023/24,45,0,0,0,0,0,0,0,0,0
166,Yasin Ayari,2024/25,50,74,1958,2,1,7,28,3,4,0
167,Carlos Baleba,2023/24,45,34,1314,0,0,2,28,0,7,0
167,Carlos Baleba,2024/25,50,87,2660,3,1,8,40,7,6,1
169,Diego Gómez Amarilla,2024/25,55,30,507,1,1,0,13,2,0,0
170,James Milner,2023/24,50,28,770,0,2,4,12,0,3,0
170,James Milner,2024/25,50,6,170,0,0,1,1,0,1,0
171,Jeremy Sarmiento Morante,2023/24,45,0,0,0,0,0,0,0,0,0
171,Jeremy Sarmiento Morante,2024/25,50,1,8,0,0,0,0,0,0,0
173,Mats Wieffer,2024/25,50,52,1003,1,5,2,22,4,6,0
175,Joe Knight,2024/25,45,0,0,0,0,0,0,0,0,0
176,Adrian Mazilu,2024/25,45,0,0,0,0,0,0,0,0,0
177,Andrew Moran,2022/23,45,1,11,0,0,0,1,0,0,0
177,Andrew Moran,2024/25,50,0,0,0,0,0,0,0,0,0
178,Danny Welbeck,2023/24,60,79,1687,5,4,8,28,5,4,0
178,Danny Welbeck,2024/25,55,125,2109,10,5,7,37,21,5,0
179,Evan Ferguson,2023/24,60,69,1356,6,1,2,28,5,1,0
179,Evan Ferguson,2024/25,55,28,385,1,0,1,9,2,0,0
168,Facundo Buonanotte,2023/24,50,57,1356,3,1,6,19,1,7,0
168,Facundo Buonanotte,2024/25,50,75,1508,5,2,2,33,6,8,0
220,Robert Lynch Sánchez,2023/24,45,59,1433,0,0,3,25,7,2,0
220,Robert Lynch Sánchez,2024/25,45,126,2880,0,0,10,34,11,5,0
221,Filip Jörgensen,2024/25,45,18,540,0,0,1,9,0,0,0
223,Gabriel Słonina,2023/24,40,0,0,0,0,0,0,0,0,0
224,Marc Cucurella Saseta,2023/24,50,44,1783,0,3,4,33,3,10,0
224,Marc Cucurella Saseta,2024/25,50,133,2988,5,2,9,38,14,8,1
225,Reece James,2023/24,55,11,416,0,2,0,13,0,0,2
225,Reece James,2024/25,50,54,1057,1,2,3,14,5,1,0
226,Trevoh Chalobah,2023/24,45,39,949,1,0,3,14,4,1,0
226,Trevoh Chalobah,2024/25,45,93,1969,3,1,6,25,11,3,0
227,Levi Samuels Colwill,2023/24,45,65,1794,1,1,5,26,4,2,0
227,Levi Samuels Colwill,2024/25,45,109,3150,2,1,10,41,6,9,0
228,Malo Gusto,2023/24,40,74,1746,0,6,5,28,10,7,1
228,Malo Gusto,2024/25,50,60,1853,0,1,4,26,2,4,0
229,Benoît Badiashile Mukinayi,2023/24,45,35,1337,0,1,3,31,4,3,0
229,Benoît Badiashile Mukinayi,2024/25,45,7,332,0,0,0,5,0,0,0
230,Wesley Fofana,2023/24,45,0,0,0,0,0,0,0,0,0
230,Wesley Fofana,2024/25,45,26,1172,0,0,2,13,2,7,0
232,Tosin Adarabioyo,2023/24,45,66,1616,2,0,6,25,2,2,0
232,Tosin Adarabioyo,2024/25,45,71,1403,1,1,7,14,7,4,0
233,Josh Acheampong,2023/24,40,1,5,0,0,0,0,0,0,0
233,Josh Acheampong,2024/25,40,4,168,0,0,0,3,0,1,0
234,Aarón Anselmino,2024/25,40,0,0,0,0,0,0,0,0,0
235,Cole Palmer,2023/24,50,244,2617,22,13,7,46,32,7,0
235,Cole Palmer,2024/25,105,214,3193,15,10,10,41,35,7,0
236,Pedro Lomba Neto,2023/24,55,86,1516,2,11,3,27,8,4,0
236,Pedro Lomba Neto,2024/25,65,104,2262,4,6,8,25,9,8,0
237,Enzo Fernández,2023/24,50,77,2208,3,3,5,47,4,7,0
237,Enzo Fernández,2024/25,50,135,2943,6,8,10,37,11,8,0
240,Christopher Nkunku,2023/24,75,29,437,3,0,0,12,4,0,0
240,Christopher Nkunku,2024/25,65,60,904,3,2,2,16,5,2,0
241,Moisés Caicedo Corozo,2023/24,50,84,2865,1,3,7,50,6,11,0
241,Moisés Caicedo Corozo,2024/25,50,98,3351,1,4,12,42,4,11,0
243,Tyrique George,2023/24,45,0,0,0,0,0,0,0,0,0
243,Tyrique George,2024/25,45,17,177,1,1,1,0,0,1,0
244,Roméo Lavia,2023/24,50,1,32,0,0,0,0,0,0,0
244,Roméo Lavia,2024/25,45,26,792,0,1,3,11,0,4,0
