fpl_name,csv_name,fpl_id,csv_id
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,488,338780
Jacob Murphy,Jacob Murphy,489,141486
Sandro Tonali,Sandro Tonali,491,343501
Joe Willock,Joe Willock,494,342563
Lewis Miley,Lewis Miley,497,474264
Aaron Ramsdale,Aaron Ramsdale,674,316858
Malick Thiaw,Malick Thiaw,684,393355
Nick Woltemade,Nick Woltemade,714,386606
James McAtee,James McAtee,426,425576
Matz Sels,Matz Sels,502,78386
Nikola Milenković,Nikola Milenkovic,505,319785
Murillo Costa dos Santos,Murillo,506,445424
Neco Williams,Neco Williams,508,386969
Jair Paula da Cunha Filho,Matheus Cunha,510,362758
Felipe Rodrigues da Silva,Rodri,511,303139
Willy Boly,Willy Boly,514,97587
Morgan Gibbs-White,Morgan Gibbs-White,515,332867
Elliot Anderson,Elliot Anderson,517,402596
Nicolás Domínguez,Nicolás Domínguez,519,334653
Ibrahim Sangaré,Ibrahim Sangaré,521,328075
Ryan Yates,Ryan Yates,522,342830
Igor Jesus Maciel da Cruz,Igor Jesus,526,397497
Dan Ndoye,Dan Ndoye,669,398414
Omari Hutchinson,Omari Hutchinson,693,430908
Arnaud Kalimuendo,Arnaud Kalimuendo,696,384005
John Victor Maciel Furtado,John McGinn,715,318449
Nicolò Savona,Nicolò Savona,716,450289
Daniel Ballard,Dan Ballard,531,371761
Trai Hume,Trai Hume,532,424514
Reinildo Mandava,Reinildo Mandava,541,361812
Simon Adingra,Simon Adingra,543,443004
Enzo Le Fée,Enzo Le Fée,547,398393
Dan Neil,Dan Neil,549,399427
Ian Poveda-Ocampo,Ian Maatsen,550,384134
Chris Rigg,Chris Rigg,551,469645
Noah Sadiki,Noah Sadiki,552,437449
Chemsdine Talbi,Chemsdine Talbi,553,476110
Wilson Isidor,Wilson Isidor,560,363535
Eliezer Mayenda Dossou,Eliezer Mayenda,561,494670
Granit Xhaka,Granit Xhaka,668,89401
Robin Roefs,Robin Roefs,670,422814
Arthur Masuaku,Arthur Masuaku,678,122980
Omar Alderete,Omar Alderete,683,344639
Nordi Mukiele,Nordi Mukiele,694,299077
Lutsharel Geertruida,Lutsharel Geertruida,724,345441
Brian Brobbey,Brian Brobbey,730,404568
Bertrand Traoré,Bertrand Traoré,735,109807
Guglielmo Vicario,Guglielmo Vicario,565,147863
Brandon Austin,Brandon Austin,566,386134
Antonín Kinský,Antonín Kinsky,567,457006
Pedro Porro Sauceda,Pedro Porro,568,362352
Cristian Romero,Cristian Romero,569,323663
Kevin Danso,Kevin Danso,570,330816
Djed Spence,Djed Spence,573,362219
Destiny Udogie,Destiny Udogie,574,401044
Micky van de Ven,Micky van de Ven,575,425229
Brennan Johnson,Brennan Johnson,580,379688
Mathys Tel,Mathys Tel,584,422885
Rodrigo Bentancur,Rodrigo Bentancur,585,303657
Wilson Odobert,Wilson Odobert,588,444751
Richarlison de Andrade,Richarlison,597,317804
Dane Scarlett,Dane Scarlett,599,407154
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,João Pedro,673,373525
Xavi Simons,Xavi Simons,717,399772
Igor Julio dos Santos de Paulo,Igor Julio,149,382241
Alphonse Areola,Alphonse Areola,600,92516
El Hadji Malick Diouf,El Hadji Malick Diouf,603,479288
Maximilian Kilman,Maximilian Kilman,605,368310
Jean-Clair Todibo,Jean-Clair Todibo,609,361710
Aaron Wan-Bissaka,Aaron Wan-Bissaka,610,331924
James Ward-Prowse,James Ward-Prowse,614,105172
Crysencio Summerville,Crysencio Summerville,615,382564
Guido Rodríguez,Guido Rodríguez,618,303876
Luis Guilherme Lira dos Santos,Luis Guilherme,619,478319
Andy Irving,Andy Irving,621,451945
Jarrod Bowen,Jarrod Bowen,624,322596
Callum Marshall,Callum Marshall,626,484501
Kyle Walker-Peters,Kyle Walker-Peters,659,313672
Callum Wilson,Callum Wilson,671,134115
Mads Hermansen,Mads Hermansen,679,409426
Mateus Gonçalo Espanha Fernandes,Bruno Fernandes,708,123761
Soungoutou Magassa,Soungoutou Magassa,718,443815
Sam Johnstone,Sam Johnstone,627,105603
José Malheiro de Sá,José Sá,628,122714
Daniel Bentley,Dan Bentley,629,134543
Emmanuel Agbadou,Emmanuel Agbadou,631,402810
Hugo Bueno López,Hugo Bueno,633,409730
Yerson Mosquera Valdelamar,Yerson Mosquera,634,425060
Santiago Ignacio Bueno,Santiago Bueno,636,444241
Toti Gomes,Toti Gomes,637,431283
Ki-Jana Hoever,Ki-Jana Hoever,638,368547
Hwang Hee-chan,Hwang Hee-Chan,642,262854
André Trindade da Costa Neto,André,643,397585
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,644,320242
Fer López González,Fer López,645,544982
